location,total_assistance,total_households,total_allocation,pct_spent,not_spent,type,state_abbr,program
Georgia,298170.0,120.0,191645052.8,0.0016,191346882.8,state_only,GA,ERA2
Ohio,0.0,0.0,198315086.84,0.0,198315086.84,state_only,OH,ERA2
North Carolina,0.0,0.0,195935831.8,0.0,195935831.8,state_only,NC,ERA2
Michigan,0.0,0.0,187582747.08,0.0,187582747.08,state_only,MI,ERA2
New Jersey,181450659.0,22050.0,113544503.68,1.5981,0.0,state_only,NJ,ERA2
Virginia,0.0,0.0,186203542.12,0.0,186203542.12,state_only,VA,ERA2
Oregon,0.0,0.0,62583816.28,0.0,62583816.28,state_only,OR,ERA2
Arizona,0.0,0.0,91659397.0,0.0,91659397.0,state_only,AZ,ERA2
Tennessee,0.0,0.0,125047084.08,0.0,125047084.08,state_only,TN,ERA2
Massachusetts,24177222.0,4776.0,143145970.76,0.1689,118968748.75999999,state_only,MA,ERA2
Indiana,0.0,0.0,129647050.64,0.0,129647050.64,state_only,IN,ERA2
Maine,32391742.0,8116.0,152000000.0,0.2131,119608258.0,state_only,ME,ERA2
Missouri,0.0,0.0,107860094.96,0.0,107860094.96,state_only,MO,ERA2
Washington,0.0,0.0,2268542.84,0.0,2268542.84,state_only,WA,ERA2
Maryland,0.0,0.0,81681639.08,0.0,81681639.08,state_only,MD,ERA2
South Carolina,0.0,0.0,92787683.08,0.0,92787683.08,state_only,SC,ERA2
Wisconsin,414425.0,223.0,112498979.2,0.0037,112084554.2,state_only,WI,ERA2
Colorado,0.0,0.0,78427674.88,0.0,78427674.88,state_only,CO,ERA2
Minnesota,0.0,0.0,91596723.96,0.0,91596723.96,state_only,MN,ERA2
Kentucky,0.0,0.0,93061170.08,0.0,93061170.08,state_only,KY,ERA2
Louisiana,10547319.0,1713.0,76628068.4,0.1376,66080749.400000006,state_only,LA,ERA2
Alabama,0.0,0.0,89637841.2,0.0,89637841.2,state_only,AL,ERA2
Connecticut,0.0,0.0,88622192.84,0.0,88622192.84,state_only,CT,ERA2
Oklahoma,0.0,0.0,66468797.08,0.0,66468797.08,state_only,OK,ERA2
Iowa,0.0,0.0,59605818.88,0.0,59605818.88,state_only,IA,ERA2
Nevada,0.0,0.0,39516360.28,0.0,39516360.28,state_only,NV,ERA2
Utah,0.0,0.0,45112435.28,0.0,45112435.28,state_only,UT,ERA2
Hawaii,0.0,0.0,38073765.32,0.0,38073765.32,state_only,HI,ERA2
New Mexico,0.0,0.0,49091574.68,0.0,49091574.68,state_only,NM,ERA2
Mississippi,0.0,0.0,58125031.12,0.0,58125031.12,state_only,MS,ERA2
North Dakota,0.0,0.0,60800000.0,0.0,60800000.0,state_only,ND,ERA2
Vermont,0.0,0.0,60800000.0,0.0,60800000.0,state_only,VT,ERA2
West Virginia,70998.0,31.0,60800000.0,0.0012,60729002.0,state_only,WV,ERA2
Alaska,0.0,0.0,50028714.56,0.0,50028714.56,state_only,AK,ERA2
Wyoming,295097.0,81.0,60800000.0,0.0049,60504903.0,state_only,WY,ERA2
South Dakota,4599297.0,1777.0,60800000.0,0.0756,56200703.0,state_only,SD,ERA2
Montana,0.0,0.0,60800000.0,0.0,60800000.0,state_only,MT,ERA2
Idaho,0.0,0.0,49907900.96,0.0,49907900.96,state_only,ID,ERA2
Kansas,0.0,0.0,50589845.88,0.0,50589845.88,state_only,KS,ERA2
