state,date,fy_value,fy_pct,ytd_value,ytd_pct
Mississippi,2021,55064.0,-0.8498919114900949,55064.0,0.2180145107060698
Missouri,1999,206636.0,2.752651460119134,30304.0,-0.44965857910794715
Missouri,2000,191578.0,-0.0728721036024701,31105.0,0.02643215417106659
Missouri,2001,199470.0,0.041194709204605884,30059.0,-0.03362803407812254
Missouri,2002,197990.0,-0.007419662104577118,32363.0,0.07664925646229093
Missouri,2003,202865.0,0.02462245567957977,32958.0,0.018385192967277364
Missouri,2004,209316.0,0.03179947255564053,33150.0,0.005825596213362427
Missouri,2005,214241.0,0.023529018326358342,35001.0,0.05583710407239817
Missouri,2006,230374.0,0.07530304656905074,37817.0,0.08045484414731008
Missouri,2007,274085.0,0.18973929349666196,41126.0,0.0875003305391755
Missouri,2008,321487.0,0.17294634876042103,52634.0,0.2798229830277683
Missouri,2009,355678.0,0.10635266744845051,67774.0,0.28764676824866053
Missouri,2010,349672.0,-0.016886059863134628,60251.0,-0.11100126892318585
Missouri,2011,394923.0,0.1294098469422773,65235.0,0.08272061874491721
Missouri,2012,513303.0,0.29975463571379746,84375.0,0.29340078178891704
Missouri,2013,567009.0,0.10462826050110752,136720.0,0.6203851851851852
Missouri,2014,517063.0,-0.08808678521857682,85577.0,-0.3740710942071387
Missouri,2015,584875.0,0.13114842872145172,102951.0,0.2030218399803685
Missouri,2016,632319.0,0.08111818764693313,128939.0,0.25243076803527886
Missouri,2017,524973.0,-0.16976557718493357,89948.0,-0.30239880873901614
Missouri,2018,496184.0,-0.05483901076817288,84585.0,-0.05962333792858099
Missouri,2019,497858.0,0.0033737484481564106,79159.0,-0.06414848968493236
Missouri,2020,708184.0,0.4224618264645743,92301.0,0.16602028828054927
Missouri,2021,120880.0,-0.8293098968629622,120880.0,0.30962828138373366
Montana,1999,73027.0,-0.3958719391131701,9285.0,-0.9231882859033752
Montana,2000,71115.0,-0.026182097032604434,9708.0,0.04555735056542809
Montana,2001,74752.0,0.05114251564367578,9418.0,-0.029872270292542247
Montana,2002,76322.0,0.021002782534246478,10587.0,0.12412401783818217
Montana,2003,80786.0,0.0584890333062551,11185.0,0.056484367620666776
Montana,2004,83545.0,0.034151957022256374,11937.0,0.06723290120697367
Montana,2005,84060.0,0.006164342569872527,11911.0,-0.0021781017005947367
Montana,2006,87770.0,0.04413514156554843,12780.0,0.07295777012845273
