defensiveZoneFaceoffLosses,defensiveZoneFaceoffWins,defensiveZoneFaceoffs,evFaceoffs,evFaceoffsLost,evFaceoffsWon,faceoffWinPct,gameDate,gameId,gamesPlayed,homeRoad,lastName,neutralZoneFaceoffLosses,neutralZoneFaceoffWins,neutralZoneFaceoffs,offensiveZoneFaceoffLosses,offensiveZoneFaceoffWins,offensiveZoneFaceoffs,opponentTeamAbbrev,playerId,positionCode,ppFaceoffs,ppFaceoffsLost,ppFaceoffsWon,shFaceoffs,shFaceoffsLost,shFaceoffsWon,skaterFullName,teamAbbrev,totalFaceoffLosses,totalFaceoffWins,totalFaceoffs,game_type
,,,12,3,9,0.7,2006-01-05,2005020596,1,H,Bergeron,,,,,,,OTT,8470638,C,5,2,3,3,1,2,Patrice Bergeron,BOS,6,14,20,2
,,,12,5,7,0.57142,2005-12-30,2005020559,1,R,Bergeron,,,,,,,TBL,8470638,C,2,1,1,0,0,0,Patrice Bergeron,BOS,6,8,14,2
,,,14,8,6,0.5,2005-10-15,2005020073,1,R,Bergeron,,,,,,,OTT,8470638,C,7,2,5,1,1,0,Patrice Bergeron,BOS,11,11,22,2
,,,17,7,10,0.54545,2006-04-04,2005021122,1,R,Bergeron,,,,,,,MTL,8470638,C,3,1,2,2,2,0,Patrice Bergeron,BOS,10,12,22,2
,,,7,3,4,0.57142,2005-11-23,2005020327,1,R,Bergeron,,,,,,,TOR,8470638,C,0,0,0,0,0,0,Patrice Bergeron,BOS,3,4,7,2
,,,13,5,8,0.53571,2005-12-04,2005020401,1,R,Bergeron,,,,,,,VAN,8470638,C,9,5,4,6,3,3,Patrice Bergeron,BOS,13,15,28,2
,,,11,5,6,0.5909,2006-04-01,2005021098,1,R,Bergeron,,,,,,,MTL,8470638,C,6,2,4,5,2,3,Patrice Bergeron,BOS,9,13,22,2
,,,19,6,13,0.58333,2006-02-05,2005020811,1,H,Bergeron,,,,,,,CAR,8470638,C,1,1,0,4,3,1,Patrice Bergeron,BOS,10,14,24,2
,,,4,1,3,0.85714,2005-11-03,2005020190,1,H,Bergeron,,,,,,,FLA,8470638,C,0,0,0,3,0,3,Patrice Bergeron,BOS,1,6,7,2
,,,6,1,5,0.7,2005-11-10,2005020237,1,H,Bergeron,,,,,,,OTT,8470638,C,0,0,0,4,2,2,Patrice Bergeron,BOS,3,7,10,2
,,,2,1,1,0.66666,2005-10-20,2005020098,1,H,Bergeron,,,,,,,BUF,8470638,C,0,0,0,1,0,1,Patrice Bergeron,BOS,1,2,3,2
,,,16,12,4,0.33333,2006-04-15,2005021204,1,R,Bergeron,,,,,,,ATL,8470638,C,3,1,2,8,5,3,Patrice Bergeron,BOS,18,9,27,2
,,,20,7,13,0.6,2006-01-19,2005020685,1,R,Bergeron,,,,,,,PHI,8470638,C,2,2,0,3,1,2,Patrice Bergeron,BOS,10,15,25,2
,,,12,3,9,0.75,2006-01-07,2005020614,1,H,Bergeron,,,,,,,TBL,8470638,C,2,0,2,2,1,1,Patrice Bergeron,BOS,4,12,16,2
,,,13,3,10,0.73684,2006-03-11,2005020943,1,H,Bergeron,,,,,,,NYI,8470638,C,4,2,2,2,0,2,Patrice Bergeron,BOS,5,14,19,2
,,,7,2,5,0.75,2006-03-12,2005020955,1,R,Bergeron,,,,,,,BUF,8470638,C,3,0,3,2,1,1,Patrice Bergeron,BOS,3,9,12,2
,,,19,9,10,0.51724,2006-02-11,2005020852,1,H,Bergeron,,,,,,,TBL,8470638,C,3,0,3,7,5,2,Patrice Bergeron,BOS,14,15,29,2
,,,10,4,6,0.47368,2005-12-11,2005020438,1,H,Bergeron,,,,,,,PHX,8470638,C,5,3,2,4,3,1,Patrice Bergeron,BOS,10,9,19,2
,,,8,4,4,0.44444,2005-11-26,2005020348,1,R,Bergeron,,,,,,,OTT,8470638,C,0,0,0,1,1,0,Patrice Bergeron,BOS,5,4,9,2
,,,12,7,5,0.42857,2005-11-25,2005020335,1,H,Bergeron,,,,,,,PHI,8470638,C,0,0,0,2,1,1,Patrice Bergeron,BOS,8,6,14,2
